event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
MEX93341,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Judges (Mexico); Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"Ciudad de Mexico",Cuauhtemoc,,"Ciudad de Mexico - Cuauhtemoc",19.4313,-99.1531,1,"La Jornada",National,"On 24 September 2024, in Ciudad de Mexico - Cuauhtemoc, hundreds of employees and judges of the Federal Judicial Branch (PJF) protested outside the Bank of Mexico (BdeM) and closed four lanes on the Eje Central against the approval of the judicial reform that poses economic risks and risks the autonomy of the PJF.",0,"crowd size=hundreds",1727907807,29748,143277,331432,29748
MEX93342,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","LGBTQ+ (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"Ciudad de Mexico",Cuauhtemoc,,"Ciudad de Mexico - Cuauhtemoc",19.4313,-99.1531,1,"El Norte; El Universal (Mexico)",Subnational-National,"On 24 September 2024, in Ciudad de Mexico - Cuauhtemoc, almost one dozen members of the LGBTQ+ community protested and blocked roads close to Colonia Roma Norte against the National Institute of Copyright (Indautor) after receiving an invoice from the institution demanding payments for the use of copyrights of songs used at a public at Pride March in the month of May.",0,"crowd size=almost 12",1727907807,29748,143277,331432,29748
MEX93343,"24 September 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Mexico)",,Rioters,"Civilians (Mexico)","Government of Mexico (2018-); MORENA: National Regeneration Movement",Civilians,Rioters-Civilians,,484,"North America",Mexico,"Ciudad de Mexico",Cuauhtemoc,,"Ciudad de Mexico - Cuauhtemoc",19.4313,-99.1531,1,"El Norte; La Jornada",Subnational-National,"On 24 September 2024, in Ciudad de Mexico - Cuauhtemoc, for a second consecutive day, hundreds of parents of normal rural students and parents demonstrated shortly after the tenth anniversary of the disappearance of the 43 normal rural students of Ayotzinapa at the Senate (Segob) to demand justice. Demonstrators fired around 12 explosive devices, such as firecrackers at the building damaging windows and injuring the Morena senator.",0,"crowd size=hundreds",1727907807,29748,143277,331432,143277
MEX93344,"24 September 2024",2024,1,"Political violence",Riots,"Mob violence","Rioters (Mexico)","Vigilante Group (Mexico)",Rioters,"Civilians (Mexico)",,Civilians,Rioters-Civilians,"Civilian targeting",484,"North America",Mexico,"Ciudad de Mexico",Tlalpan,,"Ciudad de Mexico - Tlalpan",19.2883,-99.1671,1,"El Universal (Mexico)",National,"On 24 September 2024, in Ciudad de Mexico - Tlalpan, residents of San Miguel Topilejo captured and beat a man accused of killing a two-year-old and beating the child's mother. The man was arrested by police officers but escaped hours later again.",0,"crowd size=no report",1727907807,35143,93104,309064,93104
MEX93350,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Taxi/Bus Drivers (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Guanajuato,Leon,,"Leon de los Aldama",21.122,-101.6832,1,"La Silla Rota; Milenio",National,"On 24 September 2024, in Leon de los Aldama, Guanajuato, around 1700 taxi drivers protested in the main avenues to demand justice for a fellow taxi driver who was kidnapped and then found dead on Sunday.",0,"crowd size=around 170",1727907807,29135,40813,138830,29135
MEX93353,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Jalisco,Ocotlan,,"San Martin de Zula",20.4086,-102.7308,1,Milenio,National,"On 24 September 2024, close to San Martin de Zula, Jalisco, a group of people protested and blocked the Ocotlan tollbooth to demand the location of three missing men who were kidnapped from a store.",0,"crowd size=no report",1727907807,2722,3851,7934,2722
MEX93355,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Mexico,"Ecatepec de Morelos",,"Ecatepec de Morelos",19.5991,-99.0492,1,"La Jornada",National,"On 24 September 2024, in Ecatepec de Morelos, Mexico, residents of several communities protested and blocked the Texcoco-Lecheria highway in Colonia Viento Nuevo to demand solutions to the lack of drinking water. Another protest was reported at the toll booth San Cristobal to demand solutions to the lack of drinking water in the city.",0,"crowd size=no report",1727907807,11743,92301,417033,11743
MEX93358,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Indigenous Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"Michoacan de Ocampo",Paracho,,Aranza,19.6625,-102.0238,1,MiMorelia,Subnational,"On 24 September 2024, in Aranza, Michoacan de Ocampo, for a second consecutive day, community members from Aranza and members of Indigenous groups protested to demand the appearance of a man who went missing and to demand the Attorney General's Office of the State of Michoacan to carry out the necessary investigations.",0,"crowd size=no report",1727907807,3101,3488,3201,3101
MEX93368,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Judges (Mexico); Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Morelos,Cuernavaca,,Cuernavaca,18.9218,-99.2349,1,"Diario de Morelos",Subnational,"On 24 September 2024, in Cuernavaca, Morelos, for a second consecutive day, employees and judges of the Federal Judicial Branch (PJF) protested and marched to the Judicial Branch in Colonia Del Lago against the implementation of the reform of the judicial branch.",0,"crowd size=no report",1727907807,13677,28625,24545,13677
MEX93370,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Puebla,Puebla,,"Heroica Puebla de Zaragoza",19.044,-98.1975,1,E-Consulta,Subnational,"On 24 September 2024, in Heroica Puebla de Zaragoza, Puebla, for a second consecutive day, residents protested and blocked Las Torres avenue to demand the payments for their land that amounts to 1.200 million pesos.",0,"crowd size=no report",1727907807,16695,62826,93332,16695
MEX93371,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Judges (Mexico); Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Puebla,Puebla,,"Heroica Puebla de Zaragoza",19.044,-98.1975,1,E-Consulta,Subnational,"On 24 September 2024, in Heroica Puebla de Zaragoza, Puebla, for a second consecutive day, employees and judges of the Federal Judicial Branch (PJF) protested on the Via Atlixcayotl against the implementation of the reform of the judicial branch.",0,"crowd size=no report",1727907807,16695,62826,93332,16695
MEX93375,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"San Luis Potosi","San Luis Potosi",,"San Luis Potosi",22.1517,-100.977,1,"Antena San Luis",Subnational,"On 24 September 2024, in San Luis Potosi, San Luis Potosi, relatives, online platform drivers and deliverers protested and marched to the State Attorney General's Office to demand justice for the death of an online platform driver who died the day before.",0,"crowd size=no report",1727907807,17229,67567,293409,17229
MEX93379,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Sinaloa,Culiacan,,"Culiacan Rosales",24.8088,-107.394,1,"El Sol de Sinaloa",Subnational,"On 24 September 2024, in Culiacan Rosales, Sinaloa, parents protested in Colonia 4 de marzo to demand online classes to avoid exposure of children and students to armed clashed and violence in the capital.",0,"crowd size=no report",1727907807,9763,39763,57521,9763
MEX93380,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Sinaloa,Escuinapa,,"Escuinapa de Hidalgo",22.8317,-105.7789,1,Noroeste,Subnational,"On 24 September 2024, in Escuinapa de Hidalgo, Sinaloa, parents took over a kindergarten to demand the assignment of a teacher for the students.",0,"crowd size=no report",1727907807,17306,26000,29376,17306
MEX93381,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Sonora,Hermosillo,,Hermosillo,29.0749,-110.959,1,"Entorno Informativo",Subnational,"On 24 September 2024, in Hermosillo, Sonora, retired and pensioned workers of the Union of Academic Workers of the University of Sonora (Staus) protested outside the Government palace to demand the supply of medicines and specialist doctors for the care of chronic diseases.",0,"crowd size=no report",1727907807,11379,44989,55735,11379
MEX93382,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Taxi/Bus Drivers (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Tabasco,Centla,,Frontera,18.5301,-92.6522,1,"Tabasco Hoy",Subnational,"On 24 September 2024, in Frontera, Tabasco, taxi drivers protested and blocked the federal coastal highway at KM 74 over the right of taxi drivers to drive on unauthorized and assigned roads between taxi drivers.",0,"crowd size=no report",1727907807,5917,18107,21502,5917
MEX93383,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Tamaulipas,"Ciudad Madero",,"Ciudad Madero",22.2463,-97.837,1,"Hoy Tamaulipas",Subnational,"On 24 September 2024, in Ciudad Madero, Tamaulipas, parents protested to denounce irregularities at a school in Colonia Madero such as corruption and lack of transparency.",0,"crowd size=no report",1727907807,18445,57982,188623,18445
MEX93384,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Women (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Tamaulipas,Tampico,,Tampico,22.2161,-97.8584,1,"Hoy Tamaulipas",Subnational,"On 24 September 2024, in Tampico, Tamaulipas, a women's organization protested to demand authorities to pay attention to rising numbers of femicides and gender based violence and demanded solutions to the lack of safety provided to women in the state.",0,"crowd size=no report",1727907807,5857,28448,44906,5857
MEX93385,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Women (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"Veracruz de Ignacio de la Llave",Misantla,,Misantla,19.9272,-96.8541,1,"Imagen del Golfo",Subnational,"On 24 September 2024, in Misantla, Veracruz de Ignacio de la Llave, mothers protested and took over a kindergarten to demand the change of a teacher accused of abuse and psychological damage to children.",0,"crowd size=no report",1727907807,11351,25415,35516,11351
MEX93386,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,"Veracruz de Ignacio de la Llave",Orizaba,,Orizaba,18.851,-97.0989,1,"Imagen del Golfo",Subnational,"On 24 September 2024, in Orizaba, Veracruz de Ignacio de la Llave, at least five taxi drivers protested outside the Soriana store to denounce the quality of the gasoline they are sold accusing Soriana of selling gasoline mixed with water and damaging their vehicles.",0,"crowd size=at least 5",1727907807,21898,73421,105049,21898
MEX93387,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Taxi/Bus Drivers (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"Veracruz de Ignacio de la Llave",Tempoal,,"Tempoal de Sanchez",21.5195,-98.3883,1,"La Silla Rota",National,"On 24 September 2024, in Tempoal de Sanchez, Veracruz de Ignacio de la Llave, for a second consecutive day, residents from several municipalities protested and blocked the Alazan-Canoas highway with taxi units to demand the state government to provide solutions to the conditions of different sections of the highway in the north of the state.",0,"crowd size=no report",1727907807,9204,18076,16649,9204
MEX93389,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Judges (Mexico); Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Yucatan,Merida,,Merida,20.9672,-89.6244,1,"El Universal (Mexico)",National,"On 24 September 2024, in Merida, Yucatan, employees and judges of the Federal Judicial Branch (PJF) protested in the center of the city against the implementation of the reform of the judicial branch.",0,"crowd size=no report",1727907807,11049,43731,263653,11049
MEX93634,"24 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,"Baja California",Tijuana,,Tijuana,32.5325,-117.019,1,"Zeta Tijuana",Subnational,"On 24 September 2024, in Tijuana, Baja California, relatives of a woman who was killed by her former partner held a protest at the entrance of the State Attorney General's Office (FGE) to demand access to the investigation files.",0,"crowd size=no report",1728358501,8664,51062,54534,8664
